Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 39.64     18.31    18.31 360940030     0.00     0.00  lenardJonesPotential(Particle&, Particle&)
 35.25     34.59    16.28     2002     8.13    18.92  LinkedCellParticleContainer::applyToParticlePairs(void (*)(Particle&, Particle&))
  7.51     38.06     3.47 357501726     0.00     0.00  calculateF(Particle&, Particle&)
  5.63     40.66     2.60 120094866     0.00     0.00  LinkedCellParticleContainer::getCell(utils::Vector<double, 3>)
  3.42     42.24     1.58     6003     0.26     0.70  LinkedCellParticleContainer::updateContainingCells()
  1.78     43.06     0.82 40020000     0.00     0.00  calculateX(Particle&)
  1.75     43.87     0.81 40020000     0.00     0.00  calculateV(Particle&)
  1.10     44.38     0.51     4002     0.13     0.23  LinkedCellParticleContainer::applyToPeriodicBoundaryParticlePairs(int, void (*)(Particle&, Particle))
  1.08     44.88     0.50 40020000     0.00     0.00  applyGravitation(Particle&)
  1.06     45.37     0.49 40020000     0.00     0.00  setNewForce(Particle&)
  0.71     45.70     0.33     8046     0.04     0.37  LinkedCellParticleContainer::applyToSingleParticles(void (*)(Particle&))
  0.41     45.89     0.19 18275380     0.00     0.00  Particle::Particle(Particle const&)
  0.22     45.99     0.10  1060683     0.00     0.00  calcReflection(Particle&)
  0.11     46.04     0.05 18583306     0.00     0.00  Particle::~Particle()
  0.11     46.09     0.05  4262746     0.00     0.00  PSE_Molekulardynamik_WS12::boundary_t::_xsd_boundary_t_convert() const
  0.06     46.12     0.03       41     0.73     1.36  Thermostat::regulateTemperature(double)
  0.04     46.14     0.02  4262742     0.00     0.00  PSE_Molekulardynamik_WS12::boundary_t::operator PSE_Molekulardynamik_WS12::boundary_t::value() const
  0.04     46.16     0.02  3110378     0.00     0.00  calcPeriodicBoundary(Particle&, Particle)
  0.04     46.18     0.02   820000     0.00     0.00  Thermostat::scaleVelocity(Particle&)
  0.02     46.19     0.01    20000     0.00     0.00  MaxwellBoltzmannDistribution(Particle&, double, int)
  0.00     46.19     0.00   347926     0.00     0.00  Particle::Particle(utils::Vector<double, 3>, utils::Vector<double, 3>, double, double, double, int)
  0.00     46.19     0.00    76172     0.00     0.00  Cell::addParticle(Particle&)
  0.00     46.19     0.00    20000     0.00     0.00  Thermostat::applyMaxwellBoltzmannDistribution(Particle&)
  0.00     46.19     0.00     7956     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  0.00     46.19     0.00     4002     0.00     0.00  LinkedCellParticleContainer::applyToHaloParticles(int, void (*)(Particle&))
  0.00     46.19     0.00     4002     0.00     0.05  LinkedCellParticleContainer::applyToBoundaryParticles(int, void (*)(Particle&))
  0.00     46.19     0.00     3979     0.00     0.00  std::list<Particle, std::allocator<Particle> >::operator=(std::list<Particle, std::allocator<Particle> > const&)
  0.00     46.19     0.00     3979     0.00     0.00  std::vector<bool, std::allocator<bool> >::vector(unsigned long, bool const&, std::allocator<bool> const&)
  0.00     46.19     0.00     3979     0.00     0.00  std::vector<bool, std::allocator<bool> >::~vector()
  0.00     46.19     0.00     3978     0.00     0.00  LinkedCellParticleContainer::getCell(utils::Vector<int, 3>)
  0.00     46.19     0.00     3978     0.00     0.00  Cell::Cell()
  0.00     46.19     0.00     2001     0.00     0.03  Thermostat::apply(int)
  0.00     46.19     0.00      196     0.00     0.00  calcPeriodicHalo(Particle&)
  0.00     46.19     0.00      167     0.00     0.00  xsd::cxx::xml::char_utf8_transcoder<char>::to(unsigned short const*, unsigned long)
  0.00     46.19     0.00       74     0.00     0.00  log4cxx::helpers::ObjectPtrT<log4cxx::Level>::~ObjectPtrT()
  0.00     46.19     0.00       66     0.00     0.00  xsd::cxx::tree::_type::~_type()
  0.00     46.19     0.00       61     0.00     0.00  xsd::cxx::xml::qualified_name<char> xsd::cxx::xml::dom::name<char>(xercesc_3_1::DOMElement const&)
  0.00     46.19     0.00       60     0.00     0.00  std::vector<int, std::allocator<int> >::_M_insert_aux(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&)
  0.00     46.19     0.00       52     0.00     0.00  std::vector<std::pair<Cell*, Cell*>, std::allocator<std::pair<Cell*, Cell*> > >::_M_insert_aux(__gnu_cxx::__normal_iterator<std::pair<Cell*, Cell*>*, std::vector<std::pair<Cell*, Cell*>, std::allocator<std::pair<Cell*, Cell*> > > >, std::pair<Cell*, Cell*> const&)
  0.00     46.19     0.00       45     0.00     0.00  std::basic_string<char, std::char_traits<char>, std::allocator<char> > xsd::cxx::tree::text_content<char>(xercesc_3_1::DOMElement const&)
  0.00     46.19     0.00       41     0.00     0.26  LinkedCellParticleContainer::getParticles()
  0.00     46.19     0.00       40     0.00     0.00  xsd::cxx::zc_istream<char>::zc_istream(xsd::cxx::ro_string<char> const&)
  0.00     46.19     0.00       39     0.00     0.00  xsd::cxx::tree::_type::_type(xercesc_3_1::DOMElement const&, xsd::cxx::tree::flags, xsd::cxx::tree::_type*)
  0.00     46.19     0.00       36     0.00     0.00  xsd::cxx::tree::traits<double, char, (xsd::cxx::tree::schema_type::value)2>::create(std::string const&, xercesc_3_1::DOMElement const*, xsd::cxx::tree::flags, xsd::cxx::tree::_type*)
  0.00     46.19     0.00       26     0.00     0.00  Particle::Particle(int)
  0.00     46.19     0.00       23     0.00     0.00  PSE_Molekulardynamik_WS12::positiveDecimal_t::~positiveDecimal_t()
  0.00     46.19     0.00       18     0.00     0.00  xsd::cxx::tree::_type::_type(xsd::cxx::tree::_type const&, xsd::cxx::tree::flags, xsd::cxx::tree::_type*)
  0.00     46.19     0.00       13     0.00     0.00  xsd::cxx::xml::dom::parser<char>::parser(xercesc_3_1::DOMElement const&, bool, bool)
  0.00     46.19     0.00       13     0.00     0.00  xsd::cxx::tree::one<PSE_Molekulardynamik_WS12::positiveDecimal_t, false>::set(std::auto_ptr<PSE_Molekulardynamik_WS12::positiveDecimal_t>)
  0.00     46.19     0.00       13     0.00     0.00  std::vector<Cell, std::allocator<Cell> >::_M_insert_aux(__gnu_cxx::__normal_iterator<Cell*, std::vector<Cell, std::allocator<Cell> > >, Cell const&)
  0.00     46.19     0.00       10     0.00     0.00  PSE_Molekulardynamik_WS12::positiveDecimal_t::_clone(xsd::cxx::tree::flags, xsd::cxx::tree::_type*) const
  0.00     46.19     0.00        9     0.00     0.00  PSE_Molekulardynamik_WS12::decimalVector_t::~decimalVector_t()
