51   (line 867) INFO  MolSim - RDF 0.005: (0, 0) (1, 0) (2, 0) (3, 0) (4, 0) (5, 0) (6, 0) (7, 0) (8, 0) (9, 0) (10, 0) (11, 0) (12, 0) (13, 0) (14, 0) (15, 0) (16, 0) (17, 0) (18, 0) (19, 0) (20, 0) (21, 0) (22, 0) (23, 0) (24, 0) (25, 0) (26, 0) (27, 0) (28, 0) (29, 0) (30, 0) (31, 0) (32, 0) (33, 0) (34, 0) (35, 0) (36, 0) (37, 0) (38, 8.82451) (39, 60.3604) (40, 87.7197) (41, 112.404) (42, 215.802) (43, 298.623) (44, 358.012) (45, 361.404) (46, 487.584) (47, 425.529) (48, 450.425) (49, 431.343) (50, 480.082) (51, 510.938) (52, 542.914) (53, 534.69) (54, 489.707) (55, 437.397) (56, 480.237) (57, 435.194) (58, 540.46) (59, 382.783) (60, 433.13) (61, 356.217) (62, 316.781) (63, 286.12) (64, 295.554) (65, 239.645) (66, 238.999) (67, 263.55) (68, 167.263) (69, 173.316) (70, 193.7) (71, 114.629) (72, 131.398) (73, 141.406) (74, 123.966) (75, 145.487) (76, 136.344) (77, 88.4206) (78, 103.588) (79, 80.3024) (80, 83.5679) (81, 81.1359) (82, 69.5716) (83, 97.1825) (84, 135.199) (85, 150.307) (86, 191.257) (87, 194.086) (88, 238.826) (89, 254.748) (90, 262.246) (91, 269.044) (92, 282.827) (93, 322.895) (94, 331.624) (95, 350.532) (96, 359.318) (97, 374.552) (98, 361.323) (99, 392.677) 
2235 (line 867) INFO  MolSim - RDF 1.005: (0, 0) (1, 0) (2, 0) (3, 0) (4, 0) (5, 0) (6, 0) (7, 0) (8, 0) (9, 0) (10, 0) (11, 0) (12, 0) (13, 0) (14, 0) (15, 0) (16, 0) (17, 0) (18, 0) (19, 0) (20, 0) (21, 0) (22, 0) (23, 0) (24, 0) (25, 0) (26, 0) (27, 0) (28, 0) (29, 0) (30, 0) (31, 0) (32, 0) (33, 0) (34, 0) (35, 0) (36, 1.9636) (37, 5.58084) (38, 1.7649) (39, 18.4434) (40, 122.808) (41, 145.821) (42, 136.143) (43, 286.18) (44, 306.49) (45, 424.586) (46, 383.533) (47, 482.344) (48, 482.678) (49, 452.697) (50, 468.798) (51, 544.475) (52, 538.168) (53, 475.28) (54, 485.303) (55, 502.795) (56, 566.287) (57, 390.883) (58, 487.714) (59, 351.007) (60, 389.531) (61, 390.109) (62, 379.065) (63, 315.316) (64, 262.225) (65, 312.209) (66, 250.831) (67, 202.113) (68, 220.787) (69, 159.776) (70, 136.327) (71, 131.517) (72, 130.402) (73, 120.098) (74, 119.724) (75, 141.816) (76, 118.016) (77, 101.923) (78, 72.5968) (79, 87.7531) (80, 90.8347) (81, 77.985) (82, 71.1091) (83, 97.933) (84, 118.345) (85, 169.274) (86, 174.124) (87, 240.216) (88, 225.465) (89, 258.667) (90, 218.804) (91, 290.605) (92, 303.313) (93, 278.007) (94, 350.373) (95, 340.492) (96, 367.465) (97, 391.614) (98, 379.658) (99, 371.009) 
4439 (line 867) INFO  MolSim - RDF 2.005: (0, 0) (1, 0) (2, 0) (3, 0) (4, 0) (5, 0) (6, 0) (7, 0) (8, 0) (9, 0) (10, 0) (11, 0) (12, 0) (13, 0) (14, 0) (15, 0) (16, 0) (17, 0) (18, 0) (19, 0) (20, 0) (21, 0) (22, 0) (23, 0) (24, 0) (25, 0) (26, 0) (27, 0) (28, 0) (29, 0) (30, 0) (31, 0) (32, 0) (33, 0) (34, 0) (35, 0) (36, 0) (37, 0) (38, 0) (39, 40.2402) (40, 55.8216) (41, 157.973) (42, 194.077) (43, 275.12) (44, 385.755) (45, 281.794) (46, 447.657) (47, 395.383) (48, 411.5) (49, 435.614) (50, 501.624) (51, 428.083) (52, 464.134) (53, 525.55) (54, 556.645) (55, 518.932) (56, 512.199) (57, 485.043) (58, 430.381) (59, 450.028) (60, 328.064) (61, 408.784) (62, 378.395) (63, 323.102) (64, 326.996) (65, 242.084) (66, 240.182) (67, 199.242) (68, 176.741) (69, 188.482) (70, 177.909) (71, 151.474) (72, 125.923) (73, 111.866) (74, 111.711) (75, 111.066) (76, 107.734) (77, 109.328) (78, 96.3712) (79, 84.4417) (80, 75.8974) (81, 74.8341) (82, 79.9497) (83, 104.687) (84, 137.398) (85, 176.074) (86, 189.509) (87, 212.196) (88, 217.115) (89, 263.24) (90, 244.039) (91, 277.793) (92, 309.428) (93, 321.398) (94, 339.24) (95, 322.133) (96, 321.11) (97, 342.903) (98, 379.658) (99, 415.403) 
6416 (line 867) INFO  MolSim - RDF 3.005: (0, 0) (1, 0) (2, 0) (3, 0) (4, 0) (5, 0) (6, 0) (7, 0) (8, 0) (9, 0) (10, 0) (11, 0) (12, 0) (13, 0) (14, 0) (15, 0) (16, 0) (17, 0) (18, 0) (19, 0) (20, 0) (21, 0) (22, 0) (23, 0) (24, 0) (25, 0) (26, 0) (27, 0) (28, 0) (29, 0) (30, 0) (31, 0) (32, 0) (33, 0) (34, 0) (35, 0) (36, 0) (37, 0) (38, 14.1192) (39, 30.1802) (40, 54.2267) (41, 121.518) (42, 168.007) (43, 309.683) (44, 354.049) (45, 392.995) (46, 451.287) (47, 433.646) (48, 429.294) (49, 453.764) (50, 478.031) (51, 539.543) (52, 559.049) (53, 499.958) (54, 367.28) (55, 536.767) (56, 458.11) (57, 496.121) (58, 473.189) (59, 430.815) (60, 378.096) (61, 385.959) (62, 360.313) (63, 315.965) (64, 284.863) (65, 248.792) (66, 247.281) (67, 208.429) (68, 193.467) (69, 190.106) (70, 190.015) (71, 106.953) (72, 113.978) (73, 120.098) (74, 129.151) (75, 134.473) (76, 116.228) (77, 105.843) (78, 112.504) (79, 89.4088) (80, 52.4823) (81, 74.0464) (82, 94.1715) (83, 117.069) (84, 132.635) (85, 169.274) (86, 149.998) (87, 205.362) (88, 238.826) (89, 227.967) (90, 254.579) (91, 293.105) (92, 273.96) (93, 323.792) (94, 328.987) (95, 351.966) (96, 382.355) (97, 394.642) (98, 359.974) (99, 384.75) 
8560 (line 867) INFO  MolSim - RDF 4.005: (0, 0) (1, 0) (2, 0) (3, 0) (4, 0) (5, 0) (6, 0) (7, 0) (8, 0) (9, 0) (10, 0) (11, 0) (12, 0) (13, 0) (14, 0) (15, 0) (16, 0) (17, 0) (18, 0) (19, 0) (20, 0) (21, 0) (22, 0) (23, 0) (24, 0) (25, 0) (26, 0) (27, 0) (28, 0) (29, 0) (30, 0) (31, 0) (32, 0) (33, 0) (34, 0) (35, 0) (36, 0) (37, 0) (38, 7.05961) (39, 36.8869) (40, 59.0114) (41, 130.631) (42, 201.318) (43, 305.535) (44, 332.912) (45, 298.221) (46, 546.868) (47, 350.163) (48, 384.808) (49, 414.26) (50, 454.437) (51, 574.066) (52, 531.524) (53, 559.368) (54, 513.488) (55, 524.877) (56, 445.818) (57, 509.572) (58, 479.305) (59, 421.209) (60, 374.522) (61, 354.833) (62, 373.038) (63, 286.12) (64, 309.388) (65, 283.549) (66, 213.561) (67, 192.352) (68, 148.864) (69, 157.61) (70, 165.803) (71, 162.221) (72, 146.827) (73, 124.457) (74, 135.279) (75, 130.342) (76, 125.616) (77, 115.426) (78, 81.5122) (79, 72.0238) (80, 104.965) (81, 70.8955) (82, 80.7184) (83, 101.685) (84, 108.453) (85, 133.129) (86, 182.516) (87, 215.613) (88, 256.863) (89, 278.59) (90, 278.217) (91, 281.231) (92, 315.543) (93, 272.021) (94, 316.683) (95, 347.376) (96, 363.532) (97, 358.039) (98, 360.244) (99, 375.765) 
10565 (line 867) INFO  MolSim - RDF 5.005: (0, 0) (1, 0) (2, 0) (3, 0) (4, 0) (5, 0) (6, 0) (7, 0) (8, 0) (9, 0) (10, 0) (11, 0) (12, 0) (13, 0) (14, 0) (15, 0) (16, 0) (17, 0) (18, 0) (19, 0) (20, 0) (21, 0) (22, 0) (23, 0) (24, 0) (25, 0) (26, 0) (27, 0) (28, 0) (29, 0) (30, 0) (31, 0) (32, 0) (33, 0) (34, 0) (35, 0) (36, 0) (37, 0) (38, 3.52981) (39, 23.4735) (40, 74.9605) (41, 144.302) (42, 202.767) (43, 164.519) (44, 245.72) (45, 433.432) (46, 465.806) (47, 471.908) (48, 443.752) (49, 529.57) (50, 461.617) (51, 494.17) (52, 450.846) (53, 485.334) (54, 462.403) (55, 624.247) (56, 472.042) (57, 545.97) (58, 430.381) (59, 444.117) (60, 408.115) (61, 381.809) (62, 329.505) (63, 278.335) (64, 299.956) (65, 253.67) (66, 258.521) (67, 228.525) (68, 171.723) (69, 189.023) (70, 180.014) (71, 129.981) (72, 132.393) (73, 126.394) (74, 114.539) (75, 129.883) (76, 109.97) (77, 114.555) (78, 102.739) (79, 113.003) (80, 92.8533) (81, 53.5655) (82, 88.7903) (83, 97.1825) (84, 146.191) (85, 138.139) (86, 183.215) (87, 190.669) (88, 198.075) (89, 242.011) (90, 282.05) (91, 319.978) (92, 280.381) (93, 310.924) (94, 395.78) (95, 290.293) (96, 355.947) (97, 372.9) (98, 365.098) (99, 356.739) 
12537 (line 867) INFO  MolSim - RDF 6.005: (0, 0) (1, 0) (2, 0) (3, 0) (4, 0) (5, 0) (6, 0) (7, 0) (8, 0) (9, 0) (10, 0) (11, 0) (12, 0) (13, 0) (14, 0) (15, 0) (16, 0) (17, 0) (18, 0) (19, 0) (20, 0) (21, 0) (22, 0) (23, 0) (24, 0) (25, 0) (26, 0) (27, 0) (28, 0) (29, 0) (30, 0) (31, 0) (32, 0) (33, 0) (34, 0) (35, 0) (36, 0) (37, 0) (38, 8.82451) (39, 36.8869) (40, 59.0114) (41, 136.707) (42, 196.973) (43, 205.994) (44, 344.801) (45, 405.631) (46, 399.262) (47, 389.585) (48, 354.779) (49, 490.066) (50, 498.547) (51, 549.406) (52, 507.795) (53, 454.258) (54, 456.238) (55, 532.521) (56, 449.915) (57, 500.868) (58, 453.314) (59, 422.687) (60, 493.168) (61, 439.91) (62, 380.405) (63, 318.56) (64, 289.265) (65, 212.814) (66, 207.645) (67, 220.487) (68, 210.751) (69, 144.069) (70, 165.803) (71, 118.211) (72, 147.325) (73, 128.331) (74, 116.425) (75, 109.689) (76, 101.029) (77, 137.64) (78, 100.617) (79, 101.827) (80, 85.1828) (81, 70.1077) (82, 76.106) (83, 91.5542) (84, 120.177) (85, 159.969) (86, 176.222) (87, 189.644) (88, 215.444) (89, 238.091) (90, 262.246) (91, 326.54) (92, 273.043) (93, 294.166) (94, 321.663) (95, 332.747) (96, 358.194) (97, 360.241) (98, 391.253) (99, 379.729) 
14498 (line 867) INFO  MolSim - RDF 7.005: (0, 0) (1, 0) (2, 0) (3, 0) (4, 0) (5, 0) (6, 0) (7, 0) (8, 0) (9, 0) (10, 0) (11, 0) (12, 0) (13, 0) (14, 0) (15, 0) (16, 0) (17, 0) (18, 0) (19, 0) (20, 0) (21, 0) (22, 0) (23, 0) (24, 0) (25, 0) (26, 0) (27, 0) (28, 0) (29, 0) (30, 0) (31, 0) (32, 0) (33, 0) (34, 0) (35, 0) (36, 0) (37, 0) (38, 7.05961) (39, 26.8268) (40, 102.074) (41, 133.669) (42, 191.18) (43, 251.617) (44, 360.654) (45, 367.722) (46, 408.941) (47, 435.965) (48, 403.715) (49, 431.343) (50, 454.437) (51, 482.333) (52, 464.134) (53, 433.236) (54, 539.911) (55, 531.671) (56, 504.003) (57, 488.208) (58, 421.972) (59, 439.683) (60, 393.105) (61, 385.959) (62, 339.551) (63, 306.882) (64, 311.903) (65, 271.963) (66, 237.816) (67, 221.061) (68, 230.822) (69, 151.652) (70, 173.698) (71, 135.099) (72, 136.375) (73, 118.161) (74, 119.724) (75, 124.376) (76, 122.934) (77, 98.4386) (78, 104.438) (79, 99.7571) (80, 93.6607) (81, 64.1998) (82, 79.1809) (83, 84.8002) (84, 108.453) (85, 151.38) (86, 164.684) (87, 201.262) (88, 214.108) (89, 265.526) (90, 284.605) (91, 281.231) (92, 273.043) (93, 303.144) (94, 323.128) (95, 341.639) (96, 348.361) (97, 367.947) (98, 382.085) (99, 420.952) 
16478 (line 867) INFO  MolSim - RDF 8.005: (0, 0) (1, 0) (2, 0) (3, 0) (4, 0) (5, 0) (6, 0) (7, 0) (8, 0) (9, 0) (10, 0) (11, 0) (12, 0) (13, 0) (14, 0) (15, 0) (16, 0) (17, 0) (18, 0) (19, 0) (20, 0) (21, 0) (22, 0) (23, 0) (24, 0) (25, 0) (26, 0) (27, 0) (28, 0) (29, 0) (30, 0) (31, 0) (32, 0) (33, 0) (34, 0) (35, 0) (36, 0) (37, 0) (38, 17.649) (39, 33.5335) (40, 95.6942) (41, 89.6193) (42, 204.215) (43, 257.147) (44, 301.206) (45, 314.649) (46, 370.225) (47, 377.991) (48, 452.65) (49, 500.742) (50, 508.805) (51, 489.238) (52, 545.761) (53, 446.032) (54, 526.699) (55, 540.165) (56, 478.598) (57, 502.451) (58, 465.545) (59, 465.546) (60, 390.961) (61, 332.008) (62, 356.294) (63, 380.845) (64, 296.811) (65, 253.06) (66, 265.029) (67, 183.165) (68, 197.927) (69, 175.483) (70, 147.907) (71, 150.963) (72, 144.338) (73, 117.193) (74, 105.112) (75, 120.245) (76, 119.357) (77, 94.083) (78, 100.192) (79, 90.6506) (80, 100.12) (81, 91.3764) (82, 63.806) (83, 108.814) (84, 111.384) (85, 153.886) (86, 166.432) (87, 196.82) (88, 242.166) (89, 259.647) (90, 252.344) (91, 256.232) (92, 262.953) (93, 302.845) (94, 327.522) (95, 358.85) (96, 348.642) (97, 362.443) (98, 407.162) (99, 377.879) 
18477 (line 867) INFO  MolSim - RDF 9.005: (0, 0) (1, 0) (2, 0) (3, 0) (4, 0) (5, 0) (6, 0) (7, 0) (8, 0) (9, 0) (10, 0) (11, 0) (12, 0) (13, 0) (14, 0) (15, 0) (16, 0) (17, 0) (18, 0) (19, 0) (20, 0) (21, 0) (22, 0) (23, 0) (24, 0) (25, 0) (26, 0) (27, 0) (28, 0) (29, 0) (30, 0) (31, 0) (32, 0) (33, 0) (34, 0) (35, 0) (36, 0) (37, 0) (38, 7.05961) (39, 20.1201) (40, 46.2522) (41, 119.999) (42, 147.73) (43, 276.502) (44, 274.784) (45, 375.304) (46, 383.533) (47, 500.895) (48, 516.043) (49, 533.84) (50, 590.87) (51, 531.652) (52, 488.812) (53, 498.13) (54, 524.938) (55, 567.343) (56, 437.623) (57, 412.247) (58, 406.683) (59, 377.61) (60, 395.249) (61, 329.933) (62, 347.588) (63, 363.327) (64, 350.891) (65, 257.938) (66, 228.942) (67, 169.958) (68, 176.183) (69, 212.854) (70, 180.541) (71, 134.075) (72, 129.905) (73, 157.871) (74, 136.221) (75, 97.2976) (76, 101.476) (77, 88.8561) (78, 115.051) (79, 86.0974) (80, 69.4381) (81, 61.8366) (82, 86.484) (83, 123.073) (84, 136.299) (85, 156.391) (86, 183.215) (87, 199.211) (88, 212.104) (89, 250.502) (90, 303.451) (91, 292.792) (92, 332.36) (93, 306.136) (94, 311.703) (95, 318.404) (96, 357.632) (97, 383.083) (98, 392.062) (99, 355.682) 
20438 (line 867) INFO  MolSim - RDF 10.005: (0, 0) (1, 0) (2, 0) (3, 0) (4, 0) (5, 0) (6, 0) (7, 0) (8, 0) (9, 0) (10, 0) (11, 0) (12, 0) (13, 0) (14, 0) (15, 0) (16, 0) (17, 0) (18, 0) (19, 0) (20, 0) (21, 0) (22, 0) (23, 0) (24, 0) (25, 0) (26, 0) (27, 0) (28, 0) (29, 0) (30, 0) (31, 0) (32, 0) (33, 0) (34, 0) (35, 0) (36, 0) (37, 0) (38, 0) (39, 23.4735) (40, 59.0114) (41, 118.48) (42, 179.593) (43, 248.852) (44, 247.042) (45, 371.513) (46, 448.867) (47, 430.167) (48, 465.996) (49, 543.45) (50, 535.476) (51, 483.32) (52, 528.677) (53, 461.57) (54, 514.368) (55, 554.603) (56, 435.164) (57, 504.825) (58, 376.105) (59, 429.337) (60, 343.074) (61, 381.117) (62, 364.331) (63, 360.083) (64, 291.152) (65, 270.134) (66, 224.21) (67, 190.055) (68, 192.352) (69, 164.651) (70, 160.013) (71, 153.01) (72, 120.448) (73, 128.331) (74, 119.253) (75, 124.835) (76, 131.427) (77, 109.328) (78, 62.4078) (79, 78.6467) (80, 90.431) (81, 90.1948) (82, 76.8747) (83, 91.9294) (84, 129.337) (85, 144.223) (86, 180.068) (87, 181.443) (88, 253.189) (89, 246.256) (90, 243.4) (91, 289.668) (92, 285.884) (93, 324.391) (94, 319.612) (95, 327.297) (96, 378.983) (97, 317.86) (98, 412.285) (99, 373.387) 
