31   (line 867) INFO  MolSim - RDF 0.005: (0, 0) (1, 0) (2, 0) (3, 0) (4, 0) (5, 0) (6, 0) (7, 0) (8, 0) (9, 0) (10, 0) (11, 0) (12, 0) (13, 0) (14, 0) (15, 0) (16, 0) (17, 0) (18, 0) (19, 0) (20, 0) (21, 0) (22, 0) (23, 0) (24, 0) (25, 0) (26, 0) (27, 0) (28, 0) (29, 0) (30, 0) (31, 0) (32, 0) (33, 0) (34, 0) (35, 0) (36, 0) (37, 0) (38, 0) (39, 0) (40, 0) (41, 0) (42, 0) (43, 0) (44, 0) (45, 0) (46, 0) (47, 0) (48, 0) (49, 2638.24) (50, 4358.69) (51, 0) (52, 0) (53, 0) (54, 0) (55, 0) (56, 0) (57, 0) (58, 0) (59, 0) (60, 0) (61, 0) (62, 0) (63, 0) (64, 0) (65, 0) (66, 0) (67, 0) (68, 0) (69, 0) (70, 6189.97) (71, 0) (72, 0) (73, 0) (74, 0) (75, 0) (76, 0) (77, 0) (78, 0) (79, 0) (80, 0) (81, 0) (82, 0) (83, 0) (84, 0) (85, 0) (86, 2398.58) (87, 0) (88, 0) (89, 0) (90, 0) (91, 0) (92, 0) (93, 0) (94, 0) (95, 0) (96, 0) (97, 0) (98, 0) (99, 574.218) 
1749 (line 867) INFO  MolSim - RDF 1.005: (0, 0) (1, 0) (2, 0) (3, 0) (4, 0) (5, 0) (6, 0) (7, 0) (8, 0) (9, 0) (10, 0) (11, 0) (12, 0) (13, 0) (14, 0) (15, 0) (16, 0) (17, 0) (18, 0) (19, 0) (20, 0) (21, 0) (22, 0) (23, 0) (24, 0) (25, 0) (26, 0) (27, 0) (28, 0) (29, 0) (30, 0) (31, 0) (32, 0) (33, 0) (34, 0) (35, 0) (36, 0) (37, 0) (38, 0) (39, 0) (40, 0) (41, 0) (42, 0) (43, 0) (44, 0) (45, 0) (46, 0) (47, 0) (48, 0) (49, 213.536) (50, 5526.07) (51, 1117.55) (52, 0) (53, 0) (54, 0) (55, 0) (56, 0) (57, 0) (58, 0) (59, 0) (60, 114.358) (61, 581.013) (62, 87.7341) (63, 539.801) (64, 472.257) (65, 125.615) (66, 7.09899) (67, 540.307) (68, 282.116) (69, 723.054) (70, 87.3754) (71, 0) (72, 564.91) (73, 399.521) (74, 422.805) (75, 49.5667) (76, 397.858) (77, 76.2246) (78, 360.861) (79, 81.1302) (80, 324.583) (81, 0) (82, 0) (83, 0) (84, 0) (85, 11.8098) (86, 2273.4) (87, 111.053) (88, 0) (89, 0) (90, 0) (91, 0) (92, 0) (93, 0) (94, 0) (95, 0) (96, 0) (97, 0) (98, 0) (99, 747.038) 
3908 (line 867) INFO  MolSim - RDF 2.005: (0, 0) (1, 0) (2, 0) (3, 0) (4, 0) (5, 0) (6, 0) (7, 0) (8, 0) (9, 0) (10, 0) (11, 0) (12, 0) (13, 0) (14, 0) (15, 0) (16, 0) (17, 0) (18, 0) (19, 0) (20, 0) (21, 0) (22, 0) (23, 0) (24, 0) (25, 0) (26, 0) (27, 0) (28, 0) (29, 0) (30, 0) (31, 0) (32, 0) (33, 0) (34, 0) (35, 0) (36, 0) (37, 0) (38, 0) (39, 0) (40, 0) (41, 0) (42, 0) (43, 0) (44, 0) (45, 0) (46, 0) (47, 0) (48, 883.056) (49, 2259.21) (50, 10.2582) (51, 0) (52, 0) (53, 399.418) (54, 5415.84) (55, 113.808) (56, 0) (57, 0) (58, 0) (59, 0) (60, 0) (61, 0) (62, 0) (63, 0) (64, 0) (65, 0) (66, 0) (67, 0) (68, 0) (69, 0) (70, 0) (71, 0) (72, 2.48859) (73, 1729.32) (74, 1104.38) (75, 0.458951) (76, 0) (77, 0) (78, 0) (79, 0) (80, 0) (81, 0) (82, 0) (83, 0) (84, 0) (85, 67.2802) (86, 2136.69) (87, 191.694) (88, 0) (89, 0) (90, 0) (91, 251.233) (92, 632.003) (93, 14.6634) (94, 0) (95, 0) (96, 0) (97, 0) (98, 86.286) (99, 3125.83) 
5903 (line 867) INFO  MolSim - RDF 3.005: (0, 0) (1, 0) (2, 0) (3, 0) (4, 0) (5, 0) (6, 0) (7, 0) (8, 0) (9, 0) (10, 0) (11, 0) (12, 0) (13, 0) (14, 0) (15, 0) (16, 0) (17, 0) (18, 0) (19, 0) (20, 0) (21, 0) (22, 0) (23, 0) (24, 0) (25, 0) (26, 0) (27, 0) (28, 0) (29, 0) (30, 0) (31, 0) (32, 0) (33, 0) (34, 0) (35, 0) (36, 0) (37, 0) (38, 0) (39, 0) (40, 0) (41, 0) (42, 0) (43, 0) (44, 0) (45, 0) (46, 0) (47, 5.7974) (48, 735.139) (49, 2349.97) (50, 54.3683) (51, 0) (52, 0) (53, 753.136) (54, 4860.96) (55, 320.192) (56, 0) (57, 0) (58, 0) (59, 0) (60, 0) (61, 0) (62, 0) (63, 0) (64, 0) (65, 0) (66, 0) (67, 0) (68, 0) (69, 0) (70, 0) (71, 0) (72, 15.927) (73, 1762.25) (74, 1052.53) (75, 7.34322) (76, 0) (77, 0) (78, 0) (79, 0) (80, 0) (81, 0) (82, 0) (83, 0) (84, 0) (85, 114.162) (86, 1932.85) (87, 346.143) (88, 0) (89, 0) (90, 0) (91, 323.103) (92, 552.506) (93, 23.641) (94, 0) (95, 0) (96, 0) (97, 0.275203) (98, 119.452) (99, 2884.04) 
7801 (line 867) INFO  MolSim - RDF 4.005: (0, 0) (1, 0) (2, 0) (3, 0) (4, 0) (5, 0) (6, 0) (7, 0) (8, 0) (9, 0) (10, 0) (11, 0) (12, 0) (13, 0) (14, 0) (15, 0) (16, 0) (17, 0) (18, 0) (19, 0) (20, 0) (21, 0) (22, 0) (23, 0) (24, 0) (25, 0) (26, 0) (27, 0) (28, 0) (29, 0) (30, 0) (31, 0) (32, 0) (33, 0) (34, 0) (35, 0) (36, 0) (37, 0) (38, 0) (39, 0) (40, 0) (41, 0) (42, 0) (43, 0) (44, 0) (45, 0) (46, 0) (47, 24.3491) (48, 1208.92) (49, 1825.73) (50, 104.633) (51, 0) (52, 4.74575) (53, 973.411) (54, 4258.51) (55, 692.192) (56, 0) (57, 0) (58, 0) (59, 0) (60, 0) (61, 0) (62, 0) (63, 0) (64, 0) (65, 0) (66, 0) (67, 0) (68, 0) (69, 0) (70, 0) (71, 0) (72, 75.6532) (73, 1546.27) (74, 1183.57) (75, 29.3729) (76, 0) (77, 0) (78, 0) (79, 0) (80, 0) (81, 0) (82, 0) (83, 0) (84, 4.39673) (85, 190.389) (86, 1770.61) (87, 427.809) (88, 0) (89, 0) (90, 1.59711) (91, 252.795) (92, 603.262) (93, 39.8007) (94, 0) (95, 0) (96, 0) (97, 0) (98, 289.597) (99, 2692.19) 
9692 (line 867) INFO  MolSim - RDF 5.005: (0, 0) (1, 0) (2, 0) (3, 0) (4, 0) (5, 0) (6, 0) (7, 0) (8, 0) (9, 0) (10, 0) (11, 0) (12, 0) (13, 0) (14, 0) (15, 0) (16, 0) (17, 0) (18, 0) (19, 0) (20, 0) (21, 0) (22, 0) (23, 0) (24, 0) (25, 0) (26, 0) (27, 0) (28, 0) (29, 0) (30, 0) (31, 0) (32, 0) (33, 0) (34, 0) (35, 0) (36, 0) (37, 0) (38, 0) (39, 0) (40, 0) (41, 0) (42, 0) (43, 0) (44, 0) (45, 0) (46, 0) (47, 95.0774) (48, 1503.64) (49, 1492.62) (50, 90.2719) (51, 0) (52, 11.3898) (53, 973.411) (54, 3915.01) (55, 997.945) (56, 18.8489) (57, 0) (58, 0) (59, 0) (60, 0) (61, 0) (62, 0) (63, 0) (64, 0) (65, 0) (66, 0) (67, 0) (68, 0) (69, 0) (70, 0) (71, 0) (72, 84.6121) (73, 1386.94) (74, 1285.85) (75, 72.5143) (76, 0) (77, 0) (78, 0) (79, 0) (80, 0) (81, 0) (82, 0) (83, 0) (84, 1.83197) (85, 285.225) (86, 1581.45) (87, 518.018) (88, 6.34642) (89, 0) (90, 1.91653) (91, 193.112) (92, 588.586) (93, 111.023) (94, 0) (95, 0) (96, 0) (97, 7.9809) (98, 424.15) (99, 2531.53) 
11572 (line 867) INFO  MolSim - RDF 6.005: (0, 0) (1, 0) (2, 0) (3, 0) (4, 0) (5, 0) (6, 0) (7, 0) (8, 0) (9, 0) (10, 0) (11, 0) (12, 0) (13, 0) (14, 0) (15, 0) (16, 0) (17, 0) (18, 0) (19, 0) (20, 0) (21, 0) (22, 0) (23, 0) (24, 0) (25, 0) (26, 0) (27, 0) (28, 0) (29, 0) (30, 0) (31, 0) (32, 0) (33, 0) (34, 0) (35, 0) (36, 0) (37, 0) (38, 0) (39, 0) (40, 0) (41, 0) (42, 0) (43, 0) (44, 0) (45, 0) (46, 2.41977) (47, 222.62) (48, 1418.01) (49, 1433.9) (50, 110.788) (51, 0) (52, 33.2203) (53, 1110.51) (54, 3479.03) (55, 1244.25) (56, 45.0735) (57, 0) (58, 0) (59, 0) (60, 0) (61, 0) (62, 0) (63, 0) (64, 0) (65, 0) (66, 0) (67, 0) (68, 0) (69, 0) (70, 0) (71, 1.02348) (72, 104.521) (73, 1385.97) (74, 1191.58) (75, 145.946) (76, 0) (77, 0) (78, 0) (79, 0) (80, 0) (81, 0) (82, 0) (83, 0) (84, 5.49591) (85, 346.064) (86, 1449.99) (87, 570.64) (88, 20.3754) (89, 0) (90, 1.59711) (91, 169.363) (92, 546.391) (93, 169.377) (94, 5.85907) (95, 0) (96, 0) (97, 28.6211) (98, 566.791) (99, 2348.93) 
13552 (line 867) INFO  MolSim - RDF 7.005: (0, 0) (1, 0) (2, 0) (3, 0) (4, 0) (5, 0) (6, 0) (7, 0) (8, 0) (9, 0) (10, 0) (11, 0) (12, 0) (13, 0) (14, 0) (15, 0) (16, 0) (17, 0) (18, 0) (19, 0) (20, 0) (21, 0) (22, 0) (23, 0) (24, 0) (25, 0) (26, 0) (27, 0) (28, 0) (29, 0) (30, 0) (31, 0) (32, 0) (33, 0) (34, 0) (35, 0) (36, 0) (37, 0) (38, 0) (39, 0) (40, 0) (41, 0) (42, 0) (43, 0) (44, 0) (45, 0) (46, 6.04942) (47, 325.814) (48, 1549.24) (49, 1206.48) (50, 113.866) (51, 1.97273) (52, 75.932) (53, 1113.25) (54, 3201.59) (55, 1411.56) (56, 100.801) (57, 0) (58, 0) (59, 0) (60, 0) (61, 0) (62, 0) (63, 0) (64, 0) (65, 0) (66, 0) (67, 0) (68, 0) (69, 0) (70, 0) (71, 0) (72, 187.142) (73, 1220.35) (74, 1234.95) (75, 180.827) (76, 4.47031) (77, 0) (78, 0) (79, 0) (80, 0) (81, 0) (82, 0) (83, 0) (84, 13.5566) (85, 392.587) (86, 1354.18) (87, 599.685) (88, 32.7342) (89, 0) (90, 7.34671) (91, 158.114) (92, 515.815) (93, 189.128) (94, 21.0927) (95, 0) (96, 0) (97, 38.2533) (98, 697.299) (99, 2184.83) 
15537 (line 867) INFO  MolSim - RDF 8.005: (0, 0) (1, 0) (2, 0) (3, 0) (4, 0) (5, 0) (6, 0) (7, 0) (8, 0) (9, 0) (10, 0) (11, 0) (12, 0) (13, 0) (14, 0) (15, 0) (16, 0) (17, 0) (18, 0) (19, 0) (20, 0) (21, 0) (22, 0) (23, 0) (24, 0) (25, 0) (26, 0) (27, 0) (28, 0) (29, 0) (30, 0) (31, 0) (32, 0) (33, 0) (34, 0) (35, 0) (36, 0) (37, 0) (38, 0) (39, 0) (40, 0) (41, 0) (42, 0) (43, 0) (44, 0) (45, 0) (46, 13.3087) (47, 354.801) (48, 1528.11) (49, 1136.01) (50, 169.26) (51, 0) (52, 83.5252) (53, 1187.29) (54, 2988.45) (55, 1506.69) (56, 130.303) (57, 5.53883) (58, 0) (59, 0) (60, 0) (61, 0) (62, 0) (63, 0) (64, 0) (65, 0) (66, 0) (67, 0) (68, 0) (69, 0) (70, 0) (71, 6.14085) (72, 203.069) (73, 1167.08) (74, 1229.76) (75, 216.166) (76, 4.47031) (77, 0) (78, 0) (79, 0) (80, 0) (81, 0) (82, 0) (83, 0) (84, 20.1517) (85, 426.585) (86, 1273.76) (87, 618.136) (88, 53.7776) (89, 0) (90, 12.7769) (91, 179.05) (92, 469.951) (93, 209.777) (94, 20.2138) (95, 0) (96, 2.80936) (97, 71.5529) (98, 706.736) (99, 2127.22) 
17398 (line 867) INFO  MolSim - RDF 9.005: (0, 0) (1, 0) (2, 0) (3, 0) (4, 0) (5, 0) (6, 0) (7, 0) (8, 0) (9, 0) (10, 0) (11, 0) (12, 0) (13, 0) (14, 0) (15, 0) (16, 0) (17, 0) (18, 0) (19, 0) (20, 0) (21, 0) (22, 0) (23, 0) (24, 0) (25, 0) (26, 0) (27, 0) (28, 0) (29, 0) (30, 0) (31, 0) (32, 0) (33, 0) (34, 0) (35, 0) (36, 0) (37, 0) (38, 0) (39, 0) (40, 0) (41, 0) (42, 0) (43, 0) (44, 0) (45, 0) (46, 41.1361) (47, 346.685) (48, 1434.69) (49, 1144.55) (50, 220.551) (51, 14.7955) (52, 94.915) (53, 1410.3) (54, 2725.98) (55, 1463.37) (56, 204.06) (57, 3.95631) (58, 0) (59, 0) (60, 0) (61, 0) (62, 0) (63, 0) (64, 0) (65, 0) (66, 0) (67, 0) (68, 0) (69, 0) (70, 0) (71, 7.16433) (72, 224.471) (73, 1201.47) (74, 1121.82) (75, 258.389) (76, 13.858) (77, 0) (78, 0) (79, 0) (80, 0) (81, 0) (82, 0) (83, 0) (84, 30.7771) (85, 449.847) (86, 1240.9) (87, 605.494) (88, 66.1364) (89, 1.633) (90, 15.9711) (91, 193.737) (92, 442.739) (93, 216.959) (94, 21.0927) (95, 0) (96, 2.52843) (97, 61.3703) (98, 721.297) (99, 2084.68) 
19242 (line 867) INFO  MolSim - RDF 10.005: (0, 0) (1, 0) (2, 0) (3, 0) (4, 0) (5, 0) (6, 0) (7, 0) (8, 0) (9, 0) (10, 0) (11, 0) (12, 0) (13, 0) (14, 0) (15, 0) (16, 0) (17, 0) (18, 0) (19, 0) (20, 0) (21, 0) (22, 0) (23, 0) (24, 0) (25, 0) (26, 0) (27, 0) (28, 0) (29, 0) (30, 0) (31, 0) (32, 0) (33, 0) (34, 0) (35, 0) (36, 0) (37, 0) (38, 0) (39, 0) (40, 0) (41, 0) (42, 0) (43, 0) (44, 0) (45, 6.31824) (46, 68.9634) (47, 525.245) (48, 1516.99) (49, 955.574) (50, 149.769) (51, 14.7955) (52, 201.22) (53, 1179.06) (54, 2655.52) (55, 1542.36) (56, 287.651) (57, 16.6165) (58, 0) (59, 0) (60, 0) (61, 0) (62, 0) (63, 0) (64, 0) (65, 0) (66, 0) (67, 0) (68, 0) (69, 0) (70, 0) (71, 13.8169) (72, 268.768) (73, 1091.54) (74, 1097.78) (75, 321.266) (76, 31.2922) (77, 0) (78, 0) (79, 0) (80, 0) (81, 0) (82, 0) (83, 1.87611) (84, 50.5623) (85, 531.084) (86, 1092.3) (87, 631.463) (88, 83.8396) (89, 3.266) (90, 9.90209) (91, 168.426) (92, 387.091) (93, 283.992) (94, 35.7404) (95, 3.72906) (96, 4.49498) (97, 149.16) (98, 867.174) (99, 1906.04) 
