51   (line 867) INFO  MolSim - RDF 0.005: (0, 0) (1, 0) (2, 0) (3, 0) (4, 0) (5, 0) (6, 0) (7, 0) (8, 0) (9, 0) (10, 0) (11, 0) (12, 0) (13, 0) (14, 0) (15, 0) (16, 0) (17, 0) (18, 0) (19, 0) (20, 0) (21, 0) (22, 0) (23, 0) (24, 0) (25, 0) (26, 0) (27, 0) (28, 0) (29, 0) (30, 0) (31, 0) (32, 0) (33, 0) (34, 0) (35, 0) (36, 0) (37, 0) (38, 8.82451) (39, 60.3604) (40, 87.7197) (41, 112.404) (42, 215.802) (43, 298.623) (44, 358.012) (45, 361.404) (46, 487.584) (47, 425.529) (48, 450.425) (49, 431.343) (50, 480.082) (51, 511.924) (52, 541.965) (53, 534.69) (54, 489.707) (55, 437.397) (56, 480.237) (57, 435.194) (58, 540.46) (59, 382.783) (60, 433.13) (61, 356.217) (62, 316.781) (63, 286.12) (64, 295.554) (65, 239.645) (66, 238.999) (67, 263.55) (68, 167.263) (69, 173.316) (70, 193.7) (71, 114.629) (72, 131.398) (73, 141.406) (74, 123.966) (75, 145.487) (76, 136.344) (77, 88.4206) (78, 103.588) (79, 80.3024) (80, 83.5679) (81, 81.1359) (82, 69.5716) (83, 97.1825) (84, 135.199) (85, 150.307) (86, 191.257) (87, 194.086) (88, 238.826) (89, 254.748) (90, 262.246) (91, 269.044) (92, 282.827) (93, 322.895) (94, 331.624) (95, 350.532) (96, 359.318) (97, 374.552) (98, 361.323) (99, 392.677) 
2442 (line 867) INFO  MolSim - RDF 1.005: (0, 0) (1, 0) (2, 0) (3, 0) (4, 0) (5, 0) (6, 0) (7, 0) (8, 0) (9, 0) (10, 0) (11, 0) (12, 0) (13, 0) (14, 0) (15, 0) (16, 0) (17, 0) (18, 0) (19, 0) (20, 0) (21, 0) (22, 0) (23, 0) (24, 0) (25, 0) (26, 0) (27, 0) (28, 0) (29, 0) (30, 0) (31, 0) (32, 0) (33, 0) (34, 0) (35, 0) (36, 0) (37, 0) (38, 17.649) (39, 38.5636) (40, 36.6828) (41, 68.3537) (42, 199.87) (43, 279.267) (44, 294.6) (45, 462.495) (46, 388.373) (47, 466.111) (48, 460.435) (49, 400.38) (50, 542.657) (51, 543.488) (52, 459.389) (53, 504.528) (54, 552.241) (55, 490.055) (56, 444.998) (57, 416.995) (58, 475.483) (59, 365.048) (60, 406.685) (61, 392.876) (62, 378.395) (63, 302.989) (64, 267.885) (65, 253.67) (66, 244.323) (67, 245.751) (68, 225.247) (69, 150.027) (70, 156.855) (71, 152.498) (72, 142.347) (73, 141.89) (74, 111.24) (75, 120.245) (76, 120.698) (77, 86.2427) (78, 99.7676) (79, 115.072) (80, 81.1457) (81, 90.5887) (82, 73.7997) (83, 85.5507) (84, 107.353) (85, 142.434) (86, 166.432) (87, 191.352) (88, 242.5) (89, 210.33) (90, 249.788) (91, 320.915) (92, 315.543) (93, 292.969) (94, 309.652) (95, 336.189) (96, 364.375) (97, 382.257) (98, 396.376) (99, 361.76) 
4691 (line 867) INFO  MolSim - RDF 2.005: (0, 0) (1, 0) (2, 0) (3, 0) (4, 0) (5, 0) (6, 0) (7, 0) (8, 0) (9, 0) (10, 0) (11, 0) (12, 0) (13, 0) (14, 0) (15, 0) (16, 0) (17, 0) (18, 0) (19, 0) (20, 0) (21, 0) (22, 0) (23, 0) (24, 0) (25, 0) (26, 0) (27, 0) (28, 0) (29, 0) (30, 0) (31, 0) (32, 0) (33, 0) (34, 0) (35, 0) (36, 0) (37, 0) (38, 8.82451) (39, 10.0601) (40, 31.8981) (41, 156.454) (42, 191.18) (43, 247.47) (44, 340.838) (45, 351.294) (46, 383.533) (47, 353.641) (48, 491.575) (49, 533.84) (50, 522.141) (51, 492.197) (52, 485.965) (53, 522.808) (54, 479.138) (55, 472.219) (56, 544.979) (57, 531.728) (58, 472.425) (59, 353.224) (60, 410.974) (61, 383.884) (62, 342.9) (63, 343.215) (64, 259.081) (65, 278.671) (66, 211.195) (67, 234.267) (68, 163.917) (69, 186.315) (70, 190.542) (71, 153.01) (72, 114.475) (73, 91.5265) (74, 98.5131) (75, 108.312) (76, 114.44) (77, 96.2608) (78, 95.5221) (79, 84.8556) (80, 84.3753) (81, 89.0132) (82, 73.031) (83, 95.6817) (84, 118.345) (85, 145.654) (86, 182.516) (87, 216.638) (88, 243.836) (89, 268.792) (90, 252.024) (91, 245.296) (92, 300.255) (93, 338.156) (94, 290.903) (95, 353.113) (96, 314.649) (97, 377.579) (98, 390.175) (99, 409.853) 
6902 (line 867) INFO  MolSim - RDF 3.005: (0, 0) (1, 0) (2, 0) (3, 0) (4, 0) (5, 0) (6, 0) (7, 0) (8, 0) (9, 0) (10, 0) (11, 0) (12, 0) (13, 0) (14, 0) (15, 0) (16, 0) (17, 0) (18, 0) (19, 0) (20, 0) (21, 0) (22, 0) (23, 0) (24, 0) (25, 0) (26, 0) (27, 0) (28, 0) (29, 0) (30, 0) (31, 0) (32, 0) (33, 0) (34, 0) (35, 0) (36, 0) (37, 0) (38, 8.82451) (39, 35.2102) (40, 74.9605) (41, 135.188) (42, 234.63) (43, 237.792) (44, 385.755) (45, 365.194) (46, 430.719) (47, 440.603) (48, 486.014) (49, 478.321) (50, 517.012) (51, 413.288) (52, 558.1) (53, 539.26) (54, 443.907) (55, 464.575) (56, 437.623) (57, 477.922) (58, 421.207) (59, 418.253) (60, 385.958) (61, 371.434) (62, 401.166) (63, 369.167) (64, 323.223) (65, 232.937) (66, 257.93) (67, 213.022) (68, 193.467) (69, 182.524) (70, 166.329) (71, 190.366) (72, 139.361) (73, 127.362) (74, 92.3855) (75, 118.409) (76, 114.44) (77, 71.8689) (78, 89.154) (79, 90.2367) (80, 81.5494) (81, 78.7727) (82, 68.0341) (83, 88.5524) (84, 105.521) (85, 143.507) (86, 175.173) (87, 184.177) (88, 224.463) (89, 244.623) (90, 260.329) (91, 274.356) (92, 289.248) (93, 344.74) (94, 377.031) (95, 340.205) (96, 350.609) (97, 409.778) (98, 417.409) (99, 411.967) 
9139 (line 867) INFO  MolSim - RDF 4.005: (0, 0) (1, 0) (2, 0) (3, 0) (4, 0) (5, 0) (6, 0) (7, 0) (8, 0) (9, 0) (10, 0) (11, 0) (12, 0) (13, 0) (14, 0) (15, 0) (16, 0) (17, 0) (18, 0) (19, 0) (20, 0) (21, 0) (22, 0) (23, 0) (24, 0) (25, 0) (26, 0) (27, 0) (28, 0) (29, 0) (30, 0) (31, 0) (32, 0) (33, 0) (34, 0) (35, 0) (36, 0) (37, 0) (38, 8.82451) (39, 0) (40, 122.808) (41, 74.4296) (42, 211.457) (43, 279.267) (44, 326.306) (45, 490.296) (46, 395.632) (47, 442.921) (48, 458.21) (49, 497.539) (50, 405.198) (51, 546.447) (52, 522.033) (53, 477.108) (54, 448.311) (55, 422.11) (56, 481.876) (57, 441.524) (58, 436.496) (59, 368.742) (60, 400.252) (61, 424.693) (62, 369.689) (63, 406.148) (64, 299.956) (65, 282.33) (66, 233.083) (67, 192.926) (68, 184.546) (69, 195.522) (70, 183.699) (71, 171.944) (72, 163.252) (73, 132.689) (74, 115.01) (75, 128.965) (76, 105.946) (77, 92.7762) (78, 87.4558) (79, 112.175) (80, 69.8418) (81, 64.9875) (82, 54.9654) (83, 84.425) (84, 98.1935) (85, 119.53) (86, 152.796) (87, 183.493) (88, 230.809) (89, 254.748) (90, 257.454) (91, 275.294) (92, 266.316) (93, 297.159) (94, 300.57) (95, 370.611) (96, 364.936) (97, 424.363) (98, 396.107) (99, 441.828) 
11489 (line 867) INFO  MolSim - RDF 5.005: (0, 0) (1, 0) (2, 0) (3, 0) (4, 0) (5, 0) (6, 0) (7, 0) (8, 0) (9, 0) (10, 0) (11, 0) (12, 0) (13, 0) (14, 0) (15, 0) (16, 0) (17, 0) (18, 0) (19, 0) (20, 0) (21, 0) (22, 0) (23, 0) (24, 0) (25, 0) (26, 0) (27, 0) (28, 0) (29, 0) (30, 0) (31, 0) (32, 0) (33, 0) (34, 0) (35, 0) (36, 0) (37, 0) (38, 15.8841) (39, 31.8569) (40, 68.5809) (41, 139.745) (42, 168.007) (43, 219.819) (44, 354.049) (45, 362.667) (46, 418.62) (47, 475.387) (48, 453.762) (49, 505.013) (50, 506.753) (51, 481.347) (52, 509.694) (53, 493.56) (54, 490.588) (55, 510.438) (56, 493.35) (57, 420.951) (58, 474.718) (59, 427.12) (60, 390.961) (61, 340.308) (62, 362.322) (63, 367.869) (64, 322.594) (65, 270.744) (66, 198.18) (67, 249.77) (68, 185.104) (69, 138.111) (70, 172.119) (71, 121.282) (72, 134.384) (73, 178.695) (74, 154.604) (75, 103.723) (76, 111.311) (77, 90.1628) (78, 85.7576) (79, 69.1263) (80, 90.0273) (81, 69.7139) (82, 51.506) (83, 84.8002) (84, 120.177) (85, 155.675) (86, 162.236) (87, 210.829) (88, 212.438) (89, 223.068) (90, 265.12) (91, 271.544) (92, 312.791) (93, 340.251) (94, 297.641) (95, 351.105) (96, 362.127) (97, 374.276) (98, 406.623) (99, 452.662) 
13708 (line 867) INFO  MolSim - RDF 6.005: (0, 0) (1, 0) (2, 0) (3, 0) (4, 0) (5, 0) (6, 0) (7, 0) (8, 0) (9, 0) (10, 0) (11, 0) (12, 0) (13, 0) (14, 0) (15, 0) (16, 0) (17, 0) (18, 0) (19, 0) (20, 0) (21, 0) (22, 0) (23, 0) (24, 0) (25, 0) (26, 0) (27, 0) (28, 0) (29, 0) (30, 0) (31, 0) (32, 0) (33, 0) (34, 0) (35, 0) (36, 0) (37, 9.3014) (38, 0) (39, 26.8268) (40, 63.7962) (41, 153.416) (42, 120.212) (43, 294.475) (44, 332.912) (45, 414.477) (46, 375.064) (47, 459.154) (48, 533.837) (49, 438.817) (50, 487.263) (51, 538.556) (52, 495.456) (53, 541.088) (54, 561.93) (55, 477.315) (56, 512.199) (57, 399.587) (58, 415.092) (59, 382.783) (60, 407.4) (61, 383.884) (62, 364.331) (63, 320.507) (64, 294.296) (65, 252.45) (66, 241.957) (67, 236.564) (68, 201.83) (69, 153.818) (70, 177.909) (71, 138.681) (72, 118.955) (73, 152.544) (74, 98.0417) (75, 133.555) (76, 122.486) (77, 78.4025) (78, 95.5221) (79, 109.691) (80, 89.6236) (81, 81.9237) (82, 71.4935) (83, 82.1737) (84, 94.1632) (85, 142.076) (86, 161.886) (87, 205.362) (88, 204.756) (89, 231.559) (90, 271.189) (91, 260.295) (92, 298.421) (93, 294.465) (94, 331.917) (95, 323.854) (96, 361.284) (97, 416.658) (98, 423.071) (99, 399.548) 
15909 (line 867) INFO  MolSim - RDF 7.005: (0, 0) (1, 0) (2, 0) (3, 0) (4, 0) (5, 0) (6, 0) (7, 0) (8, 0) (9, 0) (10, 0) (11, 0) (12, 0) (13, 0) (14, 0) (15, 0) (16, 0) (17, 0) (18, 0) (19, 0) (20, 0) (21, 0) (22, 0) (23, 0) (24, 0) (25, 0) (26, 0) (27, 0) (28, 0) (29, 0) (30, 0) (31, 0) (32, 0) (33, 0) (34, 0) (35, 0) (36, 0) (37, 0) (38, 0) (39, 18.4434) (40, 52.6318) (41, 94.1762) (42, 169.455) (43, 211.524) (44, 317.059) (45, 457.441) (46, 377.484) (47, 491.62) (48, 510.482) (49, 514.622) (50, 521.115) (51, 560.256) (52, 562.846) (53, 518.238) (54, 548.718) (55, 478.164) (56, 420.413) (57, 413.038) (58, 393.687) (59, 406.429) (60, 443.137) (61, 365.208) (62, 316.781) (63, 341.917) (64, 325.109) (65, 276.842) (66, 241.957) (67, 253.215) (68, 176.183) (69, 170.067) (70, 158.96) (71, 140.216) (72, 152.8) (73, 146.733) (74, 108.883) (75, 109.23) (76, 97.8998) (77, 103.23) (78, 96.7958) (79, 103.482) (80, 39.5636) (81, 57.5041) (82, 79.9497) (83, 76.9205) (84, 98.5599) (85, 158.538) (86, 147.201) (87, 187.252) (88, 230.809) (89, 250.176) (90, 306.326) (91, 304.354) (92, 288.025) (93, 295.363) (94, 308.48) (95, 349.671) (96, 376.455) (97, 393.541) (98, 397.725) (99, 404.833) 
18277 (line 867) INFO  MolSim - RDF 8.005: (0, 0) (1, 0) (2, 0) (3, 0) (4, 0) (5, 0) (6, 0) (7, 0) (8, 0) (9, 0) (10, 0) (11, 0) (12, 0) (13, 0) (14, 0) (15, 0) (16, 0) (17, 0) (18, 0) (19, 0) (20, 0) (21, 0) (22, 0) (23, 0) (24, 0) (25, 0) (26, 0) (27, 0) (28, 0) (29, 0) (30, 0) (31, 0) (32, 0) (33, 0) (34, 0) (35, 0) (36, 0) (37, 3.72056) (38, 12.3543) (39, 1.67668) (40, 71.7707) (41, 86.5813) (42, 198.422) (43, 241.94) (44, 305.169) (45, 414.477) (46, 447.657) (47, 461.473) (48, 496.024) (49, 548.788) (50, 554.967) (51, 478.388) (52, 451.795) (53, 513.668) (54, 466.807) (55, 502.795) (56, 406.481) (57, 443.106) (58, 455.607) (59, 425.642) (60, 395.249) (61, 444.06) (62, 344.909) (63, 311.424) (64, 283.606) (65, 243.304) (66, 220.66) (67, 235.415) (68, 186.777) (69, 203.105) (70, 144.222) (71, 155.568) (72, 136.873) (73, 134.142) (74, 124.909) (75, 141.357) (76, 109.97) (77, 103.23) (78, 88.3049) (79, 91.0645) (80, 60.5565) (81, 60.655) (82, 66.4966) (83, 87.0515) (84, 120.544) (85, 149.591) (86, 154.894) (87, 179.051) (88, 226.801) (89, 257.687) (90, 253.621) (91, 267.169) (92, 313.403) (93, 319.902) (94, 324.007) (95, 319.839) (96, 384.04) (97, 377.579) (98, 419.566) (99, 428.087) 
20592 (line 867) INFO  MolSim - RDF 9.005: (0, 0) (1, 0) (2, 0) (3, 0) (4, 0) (5, 0) (6, 0) (7, 0) (8, 0) (9, 0) (10, 0) (11, 0) (12, 0) (13, 0) (14, 0) (15, 0) (16, 0) (17, 0) (18, 0) (19, 0) (20, 0) (21, 0) (22, 0) (23, 0) (24, 0) (25, 0) (26, 0) (27, 0) (28, 0) (29, 0) (30, 0) (31, 0) (32, 0) (33, 0) (34, 0) (35, 0) (36, 0) (37, 0) (38, 0) (39, 10.0601) (40, 25.5185) (41, 112.404) (42, 201.318) (43, 241.94) (44, 335.554) (45, 410.686) (46, 404.102) (47, 433.646) (48, 404.827) (49, 514.622) (50, 485.211) (51, 429.07) (52, 526.778) (53, 551.142) (54, 574.261) (55, 527.425) (56, 469.584) (57, 468.427) (58, 486.185) (59, 418.253) (60, 400.967) (61, 394.259) (62, 336.872) (63, 328.292) (64, 289.265) (65, 287.208) (66, 239.591) (67, 212.448) (68, 190.122) (69, 166.275) (70, 201.069) (71, 170.92) (72, 134.384) (73, 107.507) (74, 105.112) (75, 124.835) (76, 101.923) (77, 97.1319) (78, 84.0595) (79, 68.2984) (80, 65.8047) (81, 60.2611) (82, 78.0278) (83, 71.6674) (84, 80.6066) (85, 130.266) (86, 154.894) (87, 196.82) (88, 222.125) (89, 237.438) (90, 257.135) (91, 296.855) (92, 286.496) (93, 333.368) (94, 332.502) (95, 372.045) (96, 355.104) (97, 417.208) (98, 400.691) (99, 468.517) 
22858 (line 867) INFO  MolSim - RDF 10.005: (0, 0) (1, 0) (2, 0) (3, 0) (4, 0) (5, 0) (6, 0) (7, 0) (8, 0) (9, 0) (10, 0) (11, 0) (12, 0) (13, 0) (14, 0) (15, 0) (16, 0) (17, 0) (18, 0) (19, 0) (20, 0) (21, 0) (22, 0) (23, 0) (24, 0) (25, 0) (26, 0) (27, 0) (28, 0) (29, 0) (30, 0) (31, 0) (32, 0) (33, 0) (34, 0) (35, 0) (36, 0) (37, 0) (38, 0) (39, 25.1501) (40, 47.8471) (41, 83.5434) (42, 166.558) (43, 214.289) (44, 351.407) (45, 381.622) (46, 424.67) (47, 474.227) (48, 498.248) (49, 442.02) (50, 567.277) (51, 596.752) (52, 482.168) (53, 521.894) (54, 485.303) (55, 431.452) (56, 418.774) (57, 402.752) (58, 486.185) (59, 387.216) (60, 400.967) (61, 409.476) (62, 367.01) (63, 301.692) (64, 282.977) (65, 323.795) (66, 251.422) (67, 268.144) (68, 224.69) (69, 170.067) (70, 147.38) (71, 153.521) (72, 130.402) (73, 128.815) (74, 115.953) (75, 93.626) (76, 89.4062) (77, 111.07) (78, 92.1258) (79, 82.786) (80, 63.7861) (81, 63.4121) (82, 54.9654) (83, 56.2833) (84, 95.6288) (85, 118.456) (86, 167.131) (87, 215.613) (88, 224.797) (89, 226.66) (90, 265.759) (91, 267.169) (92, 323.187) (93, 325.588) (94, 299.106) (95, 340.492) (96, 378.421) (97, 428.767) (98, 436.014) (99, 393.47) 
